,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
50,Z3001,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,,Marketing,
51,Z3002,GLOBAL MARKETING MANAGEMENT ,WARREN J KEEGAN,PEARSON EDUCATION,,Marketing,
52,1196,MARKETING ,"Michael J. Etzel, Bruce J. Walker, William J. Stanton",MCGRAW HILL,,Marketing,
53,Z3003,MARKETING ,"Michael J. Etzel, Bruce J. Walker, William J. Stanton",MCGRAW HILL,,Marketing,
54,658,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,,Marketing,
55,679,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,,Marketing,
56,Z3004,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,,Marketing,
57,1117,MARKETING RESEARCH,NARESH MALHOTRA,PEARSON EDUCATION,,Marketing,
58,Z2235,RURAL MARKETING ,PRADEEP KASHYAP,PEARSON EDUCATION,,Marketing,
59,Z2236,RURAL MARKETING ,PRADEEP KASHYAP,PEARSON EDUCATION,,Marketing,
60,657,MARKETING RESEARCH,"ALVIN BURNS, RONALD BUSH",PEARSON EDUCATION,,Marketing,
61,679,MARKETING RESEARCH,"ALVIN BURNS, RONALD BUSH",PEARSON EDUCATION,,Marketing,
62,Z2211,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,,Marketing,
63,660,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,,Marketing,
64,664,INTERNATIONAL MARKETING,DANA NICOLETA LASCU,BIZTANTRA PUBLICATION,,Marketing,
